Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Peeping Tom,1960,96,103079,Michael Powell," Loner Mark Lewis (Carl Boehm) works at a film studio during the day and, at night, takes racy photographs of...","Carl Boehm, Moira Shearer, Anna Massey, Maxine Audley",
The Witch,2015,90,110704,Robert Eggers," In 1630 New England, panic and despair envelops a farmer, his wife and their children when youngest son Samuel suddenly...","Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw","As thought-provoking as it is visually compelling,"
The Cabin in the Woods,2011,92,103667,Drew Goddard," When five college friends (Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams) arrive at a remote forest cabin...","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",No consensus yet.
Repulsion,1965,95,96880,Roman Polanski," In Roman Polanski's first English-language film, beautiful young manicurist Carole (Catherine Deneuve) suffers from androphobia (the pathological fear of interaction...","Catherine Deneuve, Yvonne Furneaux, Ian Hendry, John Fraser",No consensus yet.
Eyes Without a Face,1959,98,103111,Georges Franju," Dr. GÃ©nessier (Pierre Brasseur) is riddled with guilt after an accident that he caused disfigures the face of his daughter,...","Pierre Brasseur, Alida Valli, Ãdith Scob, Juliette Mayniel",No consensus yet.
Rosemary's Baby,1968,96,104757,Roman Polanski, A young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and...,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer",A frightening tale of Satanism and pregnancy that is even more disturbing than it sounds thanks to convincing and committed performances by Mia Farrow and Ruth Gordon.
Halloween,1978,96,103799,John Carpenter," On a cold Halloween night in 1963, six year old Michael Myers brutally murdered his 17-year-old sister, Judith. He was...","Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, P.J. Soles","Scary, suspenseful, and viscerally thrilling,"
The Silence of the Lambs,1991,96,104115,Jonathan Demme," Jodie Foster stars as Clarice Starling, a top student at the FBI's training academy. Jack Crawford (Scott Glenn) wants Clarice...","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","Director Jonathan Demme's smart, taut thriller teeters on the edge between psychological study and all-out horror, and benefits greatly from stellar performances by Anthony Hopkins and Jodie Foster."
The Invisible Man,1933,94,101554,James Whale," While researching a new drug, Dr. Jack Griffin (Claude Rains) stumbles on a potion that can make him invisible. When...","Claude Rains, Gloria Stuart, Henry Travers, William Harrigan",No consensus yet.
Aliens,1986,97,104646,James Cameron," After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team....","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",No consensus yet.
Night of the Living Dead,1968,96,98341,George A. Romero, A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search...,"Duane Jones, Judith O'Dea, Karl Hardman, Keith Wayne",No consensus yet.
Freaks,1932,95,102060,Tod Browning," When trapeze artist Cleopatra (Olga Baclanova) learns that circus midget Hans (Harry Earles) has an inheritance, she marries the lovesick,...","Wallace Ford, Olga Baclanova, Leila Hyams, Roscoe Ates",No consensus yet.
It Follows,2014,96,105858,David Robert Mitchell," After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns...","Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary",No consensus yet.
Let the Right One In,2008,98,105116,Tomas Alfredson," When Oskar (KÃ¥re Hedebrant), a sensitive, bullied 12-year-old boy living with his mother in suburban Sweden, meets his new neighbor,...","KÃ¥re Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl",
Hereditary,2018,89,112231,Ari Aster," When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying...","Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd",No consensus yet.
Vampyr,1932,97,103053,Carl Theodor Dreyer," After Allan Gray (Julian West) rents a room near Courtempierre in France, strange events unfold: An elderly man leaves a...","Julian West, Henriette GÃ©rard, Jan Hieronimko, Maurice Schutz","Full of disorienting visual effects, Carl Theodor Dreyer's"
Invasion of the Body Snatchers,1956,98,103408,Don Siegel," In Santa Mira, California, Dr. Miles Bennell (Kevin McCarthy) is baffled when all his patients come to him with the...","Kevin McCarthy, Dana Wynter, Carolyn Jones, Larry Gates",No consensus yet.
The Lighthouse,2019,90,112684,Robert Eggers, Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the...,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes","A gripping story brilliantly filmed and led by a pair of powerhouse performances,"
