Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Old Henry,2021,95,96559,Potsy Ponciroli," Old Henry is an action-Western about a widowed farmer and his son who warily take in a mysterious, injured man...","Tim Blake Nelson, Scott Haze, Gavin Lewis, Trace Adkins",No consensus yet.
Lapsis,2020,95,96573,Noah Hutton," In a parallel present, delivery man Ray Tincelli is struggling to support himself and his ailing younger brother. After a...","Madeline Wise, Dean Imperial, Ivory Aquino, Babe Howard",
Street Gang: How We Got to Sesame Street,2021,95,99518,Marilyn Agrelo, Street Gang will take us inside the minds and hearts of the Sesame Street creators to help us understand not...,"Joan Ganz Cooney, Jim Henson, Jon Stone, Frank Oz","Like the show whose groundbreaking creation it commemorates,"
Rita Moreno: Just a Girl Who Decided to Go For It,2021,95,100631,," Over a 70+ year career, Rita Moreno defied both her humble upbringing and relentless racism to become a celebrated and...","Gloria Estefan, Morgan Freeman, Whoopi Goldberg, Eva Longoria","An affecting profile of screen legend Rita Moreno,"
Mass,2021,95,103118,Fran Kranz," Years after an unspeakable tragedy tore their lives apart, two sets of parents (Jason Isaacs and Martha Plimpton, Reed Birney...","Reed Birney, Ann Dowd, Jason Isaacs, Martha Plimpton",
The Sparks Brothers,2021,95,103558,Edgar Wright," How can one rock band be successful, underrated, hugely influential, and criminally overlooked all at the same time? Edgar Wright's...","Ron Mael, Russell Mael, Edgar Wright, Flea",No consensus yet.
The Disciple,2020,96,96884,Chaitanya Tamhane, A vocalist who has devoted his life to the study of classical Indian music begins to question whether he will...,"Aditya Modak, Arun Dravid, Sumitra Bhave, Deepika Bhide Bhagwat","The rare film that captures the passion that drives the mastery of creative pursuits,"
The Human Factor,2019,96,96955,Dror Moreh," With unprecedented access to the foremost American negotiators, THE HUMAN FACTOR is the behind-the-scenes story from the last 25 years,...",,No consensus yet.
Plan B,2021,96,98194,Natalie Morales," After a regrettable sexual encounter, a straight-laced student and her best friend have 24 hours to hunt down a Plan...","Kuhoo Verma, Victoria Moroles, Josh Ruben, Mason Cook",
In the Same Breath,2021,96,98270,Nanfu Wang, IN THE SAME BREATH recounts the experiences of people on the ground in the earliest days of the novel coronavirus...,,No consensus yet.
Stray,2021,96,98184,Elizabeth Lo," STRAY explores what it means to live as a being without status or security, following three strays as they embark...",,No consensus yet.
Slaxx,2020,96,98335,Elza Kephart, A possessed pair of jeans is brought to life to punish the unscrupulous practices of a trendy clothing company. Shipped...,"Romane Denis, Brett Donahue, Sehar Bhojani, Stephen Bogaert",No consensus yet.
The Rescue,2021,96,98338,Elizabeth Chai Vasarhelyi," The Rescue chronicles the enthralling, against-all-odds story that transfixed the world in 2018: the daring rescue of twelve boys and...","Rick Stanton, John Volanthen",No consensus yet.
The Amusement Park,1973,96,98496,George A. Romero," Recently discovered and restored 46 years after its completion by the George A. Romero Foundation and produced by Suzanne Desrocher-Romero,...","Lincoln Maazel, Harry Albacker, Phyllis Casterwiler, Pete Chovan",No consensus yet.
Billie Eilish: The World's a Little Blurry,2021,96,100224,R.J. Cutler," ""Billie Eilish: The World's A Little Blurry"" tells the true coming-of-age story of the singer-songwriter and her rise to global...",Billie Eilish,No consensus yet.
I'm Your Man,2021,96,95523,Maria Schrader," In order to obtain funds for her research, Alma (Maren Eggert) is persuaded to participate in an extraordinary study. For...","Maren Eggert, Dan Stevens, Sandra HÃ¼ller, Hans LÃ¶w",No consensus yet.
